player,team,games_played,per,ts,usg,ws_48,bpm,vorp,season,player_id,min,off_rating,def_rating,nationality,player_origin,seasons_played,composite_score,rank
Bam Adebayo,MIA,71.0,19.8,0.576,24.9,0.144,2.4,2.7,2023-24,1628389.0,34.0,110.1,109.3,USA,USA,3,0.6636463233530385,64
Bennedict Mathurin,IND,78.0,13.1,0.566,24.6,0.038,-3.7,-1.0,2022-23,1631097.0,28.5,111.5,115.8,Canada,International,2,0.624461703722412,161
Bennedict Mathurin,IND,59.0,13.0,0.562,23.4,0.045,-3.4,-0.6,2023-24,1631097.0,26.1,115.0,117.9,Canada,International,2,0.6348057807351084,125
Bobby Portis,MIL,72.0,17.7,0.571,21.3,0.131,0.2,1.1,2021-22,1626171.0,28.2,114.7,108.5,USA,USA,3,0.635908874158365,80
Bobby Portis,MIL,70.0,17.8,0.575,21.7,0.139,0.7,1.2,2022-23,1626171.0,26.0,111.8,112.0,USA,USA,3,0.6470710947806059,98
Bobby Portis,MIL,82.0,17.5,0.581,22.9,0.112,-0.8,0.6,2023-24,1626171.0,24.5,115.9,116.0,USA,USA,3,0.6592558053597385,74
Bogdan Bogdanovic,ATL,63.0,15.4,0.562,21.6,0.095,1.3,1.5,2021-22,203992.0,29.3,116.6,112.1,Serbia,International,3,0.644921612585236,68
Bogdan Bogdanovic,ATL,54.0,14.2,0.586,19.8,0.088,0.5,0.9,2022-23,203992.0,27.9,117.3,116.1,Serbia,International,3,0.6476797358272511,95
Bogdan Bogdanovic,ATL,79.0,14.7,0.569,22.3,0.079,0.2,1.4,2023-24,203992.0,30.4,116.3,114.4,Serbia,International,3,0.6493049043129296,97
Bojan Bogdanovic,UTA,69.0,15.7,0.599,23.7,0.118,0.0,1.1,2021-22,202711.0,30.9,116.2,111.4,Croatia,International,3,0.6540449987087666,55
Bojan Bogdanovic,DET,59.0,17.4,0.627,25.9,0.09,0.8,1.4,2022-23,202711.0,32.1,111.3,119.5,Croatia,International,3,0.6852481623292005,34
Bojan Bogdanovic,NYK,57.0,12.6,0.581,24.6,0.034,-3.2,-0.4,2023-24,202711.0,25.9,109.9,121.3,Croatia,International,3,0.6445542710734274,104
Bones Hyland,DEN,69.0,14.4,0.558,23.8,0.088,-0.4,0.5,2021-22,1630538.0,19.0,113.4,111.7,USA,USA,2,0.634492285225023,82
Bones Hyland,LAC,56.0,14.9,0.535,28.0,0.062,-0.8,0.3,2022-23,1630538.0,19.4,112.7,118.0,USA,USA,2,0.6581889788211652,72
Bones Hyland,LAC,37.0,10.8,0.49,24.8,0.003,-3.6,-0.2,2023-24,1630538.0,14.6,105.5,111.5,USA,USA,2,0.5894893458244628,228
Bradley Beal,WAS,40.0,17.5,0.539,30.8,0.046,0.8,1.0,2021-22,203078.0,36.0,107.1,110.5,USA,USA,2,0.646731724431563,64
Bradley Beal,WAS,50.0,19.7,0.593,29.2,0.099,1.8,1.6,2022-23,203078.0,33.5,116.6,115.9,USA,USA,2,0.6949043760346727,29
Bradley Beal,PHX,53.0,16.3,0.607,22.7,0.107,0.4,1.1,2023-24,203078.0,33.3,116.2,113.2,USA,USA,2,0.6573197874433352,76
Brandon Clarke,MEM,64.0,23.7,0.66,17.7,0.241,4.2,2.0,2021-22,1629634.0,19.5,113.2,105.7,Canada,International,2,0.6630999826049507,43
Brandon Clarke,MEM,56.0,20.0,0.682,17.7,0.199,2.5,1.3,2022-23,1629634.0,19.5,109.0,108.3,Canada,International,2,0.6502089735825548,87
Brandon Clarke,MEM,6.0,18.9,0.548,20.8,0.108,1.0,0.1,2023-24,1629634.0,22.4,100.7,104.6,Canada,International,2,0.5930491416035405,220
Brandon Ingram,NOP,55.0,18.7,0.554,29.3,0.099,2.0,1.9,2021-22,1627742.0,34.0,112.7,109.4,USA,USA,3,0.6651626489677209,38
Brandon Ingram,NOP,45.0,19.2,0.582,30.8,0.108,1.7,1.5,2022-23,1627742.0,34.2,115.5,112.5,USA,USA,3,0.6865387201930055,33
Brandon Ingram,NOP,64.0,18.2,0.578,27.2,0.117,1.2,1.7,2023-24,1627742.0,32.9,116.6,112.6,USA,USA,3,0.675976188005206,47
Brook Lopez,MIL,13.0,16.0,0.57,21.9,0.108,-1.3,0.1,2021-22,201572.0,23.0,110.2,111.6,USA,USA,2,0.6263940637459292,105
Brook Lopez,MIL,78.0,18.4,0.63,19.3,0.161,2.1,2.5,2022-23,201572.0,30.4,113.7,106.6,USA,USA,2,0.6485836335685674,91
Brook Lopez,MIL,79.0,14.8,0.608,16.0,0.117,1.0,1.8,2023-24,201572.0,30.5,117.1,111.9,USA,USA,2,0.6370438373995957,122
Bruce Brown,BKN,72.0,15.0,0.575,15.0,0.13,0.7,1.2,2021-22,1628971.0,24.6,111.7,112.0,USA,USA,3,0.6191301888491622,127
Bruce Brown,DEN,80.0,13.3,0.571,17.8,0.09,-0.5,0.9,2022-23,1628971.0,28.5,113.8,113.0,USA,USA,3,0.6219969074948045,164
Bruce Brown,TOR,67.0,11.6,0.563,16.5,0.058,-3.3,-0.6,2023-24,1628971.0,27.8,115.6,121.4,USA,USA,3,0.6230208780193877,155
Buddy Hield,IND,81.0,12.9,0.548,22.4,0.036,-1.2,0.5,2021-22,1627741.0,30.8,111.4,115.1,Bahamas,International,3,0.6251861205419734,108
Buddy Hield,IND,80.0,15.4,0.614,20.8,0.085,1.9,2.4,2022-23,1627741.0,31.0,114.4,116.3,Bahamas,International,3,0.6654187468799558,59
Buddy Hield,PHI,84.0,13.3,0.578,19.2,0.077,0.4,1.3,2023-24,1627741.0,25.7,116.9,115.7,Bahamas,International,3,0.6423446804727633,113
CJ McCollum,NOP,62.0,18.3,0.553,27.5,0.081,1.9,2.1,2021-22,203468.0,34.6,112.1,114.0,USA,USA,3,0.6700748578190503,31
CJ McCollum,NOP,75.0,15.6,0.541,26.4,0.078,0.8,1.9,2022-23,203468.0,35.3,114.5,113.5,USA,USA,3,0.658934823157816,70
CJ McCollum,NOP,66.0,17.9,0.592,24.7,0.132,3.1,2.8,2023-24,203468.0,32.7,115.9,112.2,USA,USA,3,0.6793791043429052,45
Cade Cunningham,DET,64.0,13.1,0.504,27.5,-0.011,-1.6,0.2,2021-22,1630595.0,32.6,106.9,113.1,USA,USA,2,0.6145692480139511,141
Cade Cunningham,DET,12.0,14.0,0.492,30.0,-0.018,-0.7,0.1,2022-23,1630595.0,33.3,111.2,117.3,USA,USA,2,0.6406230919041409,119
