player,player_url,flag_url
Giannis Antetokounmpo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203507.png,https://www.worldometers.info//img/flags/small/tn_gr-flag.gif
Goga Bitadze,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629048.png,https://www.worldometers.info//img/flags/small/tn_gg-flag.gif
Gordon Hayward,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202330.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Grant Williams,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629684.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Grayson Allen,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628960.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Greg Brown III,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630535.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Hamidou Diallo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628977.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Harrison Barnes,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203084.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Haywood Highsmith,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629312.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Herbert Jones,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630529.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Immanuel Quickley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630193.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Isaac Okoro,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630171.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Isaiah Hartenstein,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628392.png,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Isaiah Jackson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630543.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Isaiah Joe,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630198.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Isaiah Livers,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630587.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Isaiah Mobley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630600.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Isaiah Stewart,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630191.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Isaiah Thomas,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202738.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Ish Smith,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202397.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Ish Wainright,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630688.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Ivica Zubac,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627826.png,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
JD Davison,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631120.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
JT Thor,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630550.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Ja Morant,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629630.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
