player,team,games_played,per,ts,usg,ws_48,bpm,vorp,season,player_id,min,off_rating,def_rating,nationality,player_origin,seasons_played,composite_score
Brandon Ingram,NOP,55,18.7,0.554,29.3,0.099,2.0,1.9,2021-22,1627742,34.0,112.7,109.4,USA,USA,3,0.4568
Brandon Ingram,NOP,45,19.2,0.582,30.8,0.108,1.7,1.5,2022-23,1627742,34.2,115.5,112.5,USA,USA,3,0.5278
Brandon Ingram,NOP,64,18.2,0.578,27.2,0.117,1.2,1.7,2023-24,1627742,32.9,116.6,112.6,USA,USA,3,0.5191
Brook Lopez,MIL,78,18.4,0.63,19.3,0.161,2.1,2.5,2022-23,201572,30.4,113.7,106.6,USA,USA,2,0.4395
Brook Lopez,MIL,79,14.8,0.608,16.0,0.117,1.0,1.8,2023-24,201572,30.5,117.1,111.9,USA,USA,2,0.4732
Bruce Brown,BKN,72,15.0,0.575,15.0,0.13,0.7,1.2,2021-22,1628971,24.6,111.7,112.0,USA,USA,3,0.4335
Bruce Brown,DEN,80,13.3,0.571,17.8,0.09,-0.5,0.9,2022-23,1628971,28.5,113.8,113.0,USA,USA,3,0.4408
Bruce Brown,TOR,67,11.6,0.563,16.5,0.058,-3.3,-0.6,2023-24,1628971,27.8,115.6,121.4,USA,USA,3,0.519
Buddy Hield,IND,81,12.9,0.548,22.4,0.036,-1.2,0.5,2021-22,1627741,30.8,111.4,115.1,Bahamas,International,3,0.4425
Buddy Hield,IND,80,15.4,0.614,20.8,0.085,1.9,2.4,2022-23,1627741,31.0,114.4,116.3,Bahamas,International,3,0.539
Buddy Hield,PHI,84,13.3,0.578,19.2,0.077,0.4,1.3,2023-24,1627741,25.7,116.9,115.7,Bahamas,International,3,0.5011
CJ McCollum,NOP,62,18.3,0.553,27.5,0.081,1.9,2.1,2021-22,203468,34.6,112.1,114.0,USA,USA,3,0.5036
CJ McCollum,NOP,75,15.6,0.541,26.4,0.078,0.8,1.9,2022-23,203468,35.3,114.5,113.5,USA,USA,3,0.4847
CJ McCollum,NOP,66,17.9,0.592,24.7,0.132,3.1,2.8,2023-24,203468,32.7,115.9,112.2,USA,USA,3,0.5254
