player,nationality,player_origin,avg_per,avg_ts,avg_usg,avg_ws_48,avg_bpm,avg_vorp,avg_off_rating,avg_def_rating,composite_score
Chimezie Metu,USA,USA,13.359865092748736,0.5716863406408095,17.57689713322091,0.06763912310286678,-1.4197301854974704,0.2,105.85919055649241,111.88026981450253,0.34036071829791087
Chris Boucher,Saint Lucia,International,17.94738154613466,0.5794763092269327,17.894763092269326,0.16284039900249378,0.00523690773067332,0.8052369077306732,110.71571072319202,108.49551122194514,0.3734423835109747
Chris Duarte,Dominican Republic,International,10.93812064013131,0.5219089043906443,20.32704144439885,0.01722158391464916,-3.1097661058678705,-0.28403775133360687,108.26253590480098,111.87164546573656,0.3077552874552015
Chris Paul,USA,USA,18.066293610666282,0.5619737121471112,18.400555985389637,0.1712680065494719,3.4403980063695414,2.7190096622703637,114.83873544811703,109.39326519963294,0.4408645877615972
Christian Braun,USA,USA,11.351905165114312,0.5598185153824443,14.577857747671466,0.09127222692633363,-2.1078041208015805,-0.041560824160316125,108.75317527519053,110.13121648320633,0.3063812318929574
Christian Wood,USA,USA,18.39505074792008,0.6007096623188714,23.389458901632022,0.11049905313105093,0.8224035576738943,1.4004808817584102,110.46016979807223,114.995550779837,0.5103304182864462
CJ McCollum,USA,USA,17.147411126616692,0.5605385633515084,26.211647412565274,0.09569244270526119,1.8536160784934324,2.241167330849242,114.19399646088993,113.25067113611186,0.49676915487394013
Clint Capela,Switzerland,International,21.380887034024195,0.6152365424064512,16.160663507109007,0.18551043361392092,1.428333451227276,1.6419042229610241,115.83614628280398,115.01389262219708,0.5608841011648426
Coby White,USA,USA,13.443131614912755,0.5689508629183485,20.60604360677621,0.07754421066014047,-1.100734195721959,0.5500031783364586,114.00504560912817,113.64498935257285,0.43971588232303327
Cole Anthony,USA,USA,14.583247066624914,0.54228803256645,23.601619112527402,0.07971143325535561,-0.049910663301958015,0.8581480594595591,109.92390539519977,111.13311168008252,0.3826069939387189
Collin Sexton,USA,USA,18.47579143389199,0.610204469273743,26.040186219739297,0.11916685288640597,0.7606331471135941,1.3591061452513966,116.78636871508381,118.9401862197393,0.636887510600804
Corey Kispert,USA,USA,11.768812080536913,0.6227221812080538,16.155855704697984,0.06598513422818791,-1.9496375838926174,0.005412751677852361,111.30004697986578,116.09972147651006,0.4547274620185451
Cory Joseph,Canada,International,11.70401188707281,0.5698796433878157,14.690872426236467,0.07282848652090851,-1.8394183825090213,0.08686053916365952,107.21093186160051,112.61203566121843,0.34297676290992496
Damian Lillard,USA,USA,22.792520769707195,0.6147307946949149,30.82811438822801,0.1708783503833586,4.348254063174081,3.6892317877965954,119.44496508126348,114.64825406317411,0.6619968195751089
Damion Lee,USA,USA,10.79073933340571,0.5861299533166866,16.073151666485725,0.09052763000759961,-1.8361090001085658,0.05463033329714473,109.73704266637716,106.93704266637717,0.2713133695566039
DAngelo Russell,USA,USA,16.19141592147039,0.5804257231073956,23.533351781189012,0.10195643878710203,1.0714412629984562,1.746418688648743,114.92143398095016,112.05693542279572,0.46911407362130797
Daniel Gafford,USA,USA,21.069451407437846,0.7268020957468667,15.459769878775425,0.19598557633038832,1.7744236696116706,1.5649928087117322,111.59773577152248,115.29008424080544,0.587908759217054
Daniel Theis,Germany,International,13.810966057441252,0.5960182767624022,15.792689295039164,0.10623759791122714,-1.8454308093994778,0.050913838120104436,110.10234986945169,110.84386422976503,0.3625664157604829
Darius Garland,USA,USA,17.6669987601842,0.575494465108041,26.77422954303932,0.11706646298264257,1.5191374424371236,2.1194916755224935,114.76506376195536,108.84761778250088,0.43650085793316445
David Roddy,USA,USA,8.75171352349682,0.5020997332238867,17.376010671044533,0.02416827416375949,-4.431151241534988,-0.7448594295095424,107.55795198029962,113.031151241535,0.2907890031577242
Davion Mitchell,USA,USA,10.004771887359253,0.5222375786129542,17.20886516392557,0.03104037085863716,-3.391830736314322,-0.5931987638045427,109.14766268288993,111.64693004257525,0.2950051917797888
DeAaron Fox,USA,USA,19.89402995471961,0.5726473423894113,30.142945315221176,0.10973124346917451,1.6744966910484154,2.3047230929989553,116.4152434691745,115.04736886102403,0.5773926539676981
Dean Wade,USA,USA,9.657488084849296,0.5790087937168557,10.607256494596227,0.1064313620191985,-0.36989326710075854,0.4443310733704772,109.23565147345103,103.50865946163657,0.19233578004410262
Deandre Ayton,Bahamas,International,20.19657492133531,0.619399544287316,21.85582118702304,0.15111479619516077,1.2945350645592968,1.5245216825201633,112.31078158342073,112.1749538862165,0.49571677106900514
