player,headshot_url,flag_url
Cole Swider,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/cole_swider.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Collin Sexton,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/collin_sexton.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Corey Kispert,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/corey_kispert.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Cory Joseph,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/cory_joseph.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
DAngelo Russell,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/dangelo_russell.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
DJ Wilson,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/dj_wilson.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
DaQuan Jeffries,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/daquan_jeffries.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Daishen Nix,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/daishen_nix.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Dalano Banton,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/dalano_banton.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Dalen Terry,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/dalen_terry.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Damian Jones,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/damian_jones.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Damian Lillard,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/damian_lillard.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
