player,player_url,flag_url,circular_player_url
Danny Green,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201980.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\danny_green.png
Danuel House Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627863.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\danuel_house_jr.png
Dario Saric,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203967.png,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif,./visualisation/circular_headshots\dario_saric.png
Darius Bazley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629647.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\darius_bazley.png
Darius Garland,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629636.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\darius_garland.png
David Duke Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630561.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\david_duke_jr.png
David Roddy,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631223.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\david_roddy.png
Davion Mitchell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630558.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\davion_mitchell.png
Davis Bertans,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202722.png,https://www.worldometers.info//img/flags/small/tn_lg-flag.gif,./visualisation/circular_headshots\davis_bertans.png
DayRon Sharpe,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630549.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\dayron_sharpe.png
DeAaron Fox,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628368.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\deaaron_fox.png
DeAndre Hunter,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629631.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\deandre_hunter.png
DeAnthony Melton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629001.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\deanthony_melton.png
DeAndre Jordan,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201599.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\deandre_jordan.png
DeJon Jarreau,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630610.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\dejon_jarreau.png
DeMar DeRozan,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201942.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\demar_derozan.png
Dean Wade,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629731.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\dean_wade.png
Deandre Ayton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629028.png,,./visualisation/circular_headshots\deandre_ayton.png
Dejounte Murray,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627749.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\dejounte_murray.png
Delon Wright,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626153.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\delon_wright.png
Deni Avdija,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630166.png,https://www.worldometers.info//img/flags/small/tn_is-flag.gif,./visualisation/circular_headshots\deni_avdija.png
Dennis Schroder,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203471.png,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif,./visualisation/circular_headshots\dennis_schroder.png
Dennis Smith Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628372.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\dennis_smith_jr.png
Dereon Seabron,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631220.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\dereon_seabron.png
Derrick Jones Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627884.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\derrick_jones_jr.png
Derrick Rose,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201565.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\derrick_rose.png
Derrick White,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\derrick_white.png
Desmond Bane,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630217.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\desmond_bane.png
Devin Booker,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626164.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\devin_booker.png
Devin Vassell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630170.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\devin_vassell.png
Devonte Graham,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628984.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\devonte_graham.png
Dillon Brooks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628415.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif,./visualisation/circular_headshots\dillon_brooks.png
Domantas Sabonis,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627734.png,https://www.worldometers.info//img/flags/small/tn_lh-flag.gif,./visualisation/circular_headshots\domantas_sabonis.png
