player,team,games_played,per,ts,usg,ws_48,bpm,vorp,season,player_id,min,off_rating,def_rating,nationality
Collin Sexton,CLE,11,11.2,0.523,27.9,-0.009,-4.1,-0.2,2021-22,1629012,28.8,99.2,105.0,USA
Collin Sexton,UTA,48,15.9,0.616,23.4,0.105,-1.3,0.2,2022-23,1629012,23.9,116.4,116.3,USA
Collin Sexton,UTA,78,19.9,0.607,27.5,0.127,1.9,2.0,2023-24,1629012,26.6,117.0,120.4,USA
Corey Kispert,WAS,77,10.9,0.586,14.6,0.061,-2.3,-0.1,2021-22,1630557,23.4,113.0,112.9,USA
Corey Kispert,WAS,74,11.5,0.657,14.1,0.088,-1.5,0.2,2022-23,1630557,28.3,112.4,115.6,USA
Corey Kispert,WAS,80,12.8,0.62,19.6,0.048,-2.1,-0.1,2023-24,1630557,25.8,108.7,119.4,USA
Cory Joseph,DET,65,11.4,0.579,14.3,0.075,-2.1,0.0,2021-22,202709,24.6,105.3,111.7,Canada
Cory Joseph,DET,62,12.1,0.558,15.2,0.07,-1.5,0.2,2022-23,202709,19.8,109.7,113.8,Canada
Cory Joseph,GSW,26,6.2,0.47,11.3,0.034,-4.7,-0.2,2023-24,202709,11.4,114.2,117.2,Canada
DAngelo Russell,MIN,65,16.3,0.544,25.1,0.101,0.8,1.4,2021-22,1626156,31.9,114.5,109.8,USA
DAngelo Russell,LAL,71,16.3,0.605,22.7,0.106,1.5,2.0,2022-23,1626156,32.5,113.6,112.1,USA
DAngelo Russell,LAL,76,16.0,0.588,23.0,0.099,0.9,1.8,2023-24,1626156,32.7,116.5,113.9,USA
DJ Wilson,TOR,4,27.9,0.773,17.0,0.328,5.0,0.1,2021-22,1628391,13.5,100.0,116.5,USA
DJ Wilson,PHI,2,31.6,0.833,17.3,0.355,22.4,0.1,2023-24,1628391,7.7,120.0,117.2,USA
DaQuan Jeffries,MEM,3,8.4,0.5,9.1,0.099,-4.9,0.0,2021-22,1629610,2.9,89.5,100.0,USA
DaQuan Jeffries,NYK,17,3.1,0.391,19.6,-0.087,-8.1,-0.1,2023-24,1629610,2.7,87.6,95.0,USA
Daishen Nix,HOU,24,8.1,0.48,17.3,-0.033,-6.4,-0.3,2021-22,1630227,10.9,104.4,111.0,USA
Daishen Nix,HOU,57,5.3,0.447,15.4,-0.062,-6.5,-1.0,2022-23,1630227,16.0,106.2,114.4,USA
Daishen Nix,MIN,15,12.3,0.507,28.0,0.014,-1.4,0.0,2023-24,1630227,3.3,119.3,99.1,USA
Dalano Banton,TOR,64,10.0,0.463,16.9,0.03,-3.1,-0.2,2021-22,1630625,10.9,106.6,105.1,Canada
Dalano Banton,TOR,31,14.9,0.505,24.2,0.064,-0.5,0.1,2022-23,1630625,9.0,104.4,110.9,Canada
Dalano Banton,POR,54,13.3,0.504,25.7,0.024,-1.3,0.2,2023-24,1630625,19.4,104.5,114.7,Canada
Dalen Terry,CHI,38,14.1,0.523,18.4,0.105,0.0,0.1,2022-23,1631207,5.6,104.8,101.5,USA
Dalen Terry,CHI,59,10.2,0.512,13.4,0.06,-2.3,0.0,2023-24,1631207,11.5,112.9,110.7,USA
Damian Jones,SAC,56,18.3,0.701,16.2,0.156,0.3,0.6,2021-22,1627745,18.2,106.7,113.5,USA
Damian Jones,UTA,41,12.9,0.719,10.7,0.119,-1.7,0.0,2022-23,1627745,11.6,103.6,112.6,USA
Damian Jones,CLE,39,15.8,0.659,15.4,0.15,-0.5,0.1,2023-24,1627745,6.9,94.0,112.6,USA
Damian Lillard,POR,29,18.5,0.55,29.3,0.079,1.3,0.9,2021-22,203081,36.4,113.0,114.8,USA
Damian Lillard,POR,58,26.7,0.645,33.8,0.205,7.1,4.9,2022-23,203081,36.3,119.5,117.4,USA
Damian Lillard,MIL,73,19.6,0.59,28.4,0.143,2.1,2.7,2023-24,203081,35.3,119.4,112.4,USA
Damion Lee,GSW,63,10.9,0.561,15.8,0.102,-2.0,0.0,2021-22,1627814,19.9,109.3,106.5,USA
Damion Lee,PHX,74,10.7,0.607,16.3,0.081,-1.7,0.1,2022-23,1627814,20.4,110.1,107.3,USA
Daniel Gafford,WAS,72,21.8,0.708,16.7,0.198,1.6,1.3,2021-22,1629655,20.1,108.6,115.5,USA
Daniel Gafford,WAS,78,19.7,0.739,15.2,0.184,1.0,1.2,2022-23,1629655,20.6,111.7,114.3,USA
Daniel Gafford,DAL,74,21.7,0.731,14.7,0.205,2.6,2.1,2023-24,1629655,24.5,113.9,116.0,USA
Daniel Theis,BOS,47,13.2,0.595,16.2,0.093,-2.1,0.0,2021-22,1628464,20.8,104.4,108.4,Germany
Daniel Theis,IND,7,14.2,0.497,20.1,0.046,-1.4,0.0,2022-23,1628464,15.5,107.3,115.5,Germany
Daniel Theis,LAC,60,14.4,0.597,15.4,0.119,-1.6,0.1,2023-24,1628464,16.9,115.6,113.2,Germany
Danilo Gallinari,ATL,66,14.3,0.579,18.4,0.105,-0.2,0.8,2021-22,201568,25.3,116.0,112.6,Italy
Danilo Gallinari,MIL,49,13.4,0.601,17.2,0.098,-1.9,0.0,2023-24,201568,12.8,109.1,117.5,Italy
Danny Green,PHI,62,9.5,0.561,12.3,0.067,-0.5,0.5,2021-22,201980,21.8,111.5,108.5,USA
Danny Green,CLE,11,10.8,0.617,18.9,0.059,-1.9,0.0,2022-23,201980,12.6,104.5,110.0,USA
Danny Green,PHI,2,0.7,0.0,4.8,-0.035,-6.6,0.0,2023-24,201980,9.2,114.6,120.5,USA
Danuel House Jr,UTA,42,10.6,0.555,15.2,0.068,-1.1,0.2,2021-22,1627863,17.3,109.4,105.5,USA
Danuel House Jr,PHI,56,9.4,0.6,13.8,0.075,-3.0,-0.2,2022-23,1627863,14.4,112.8,112.5,USA
Danuel House Jr,PHI,34,8.5,0.575,12.2,0.066,-4.0,-0.3,2023-24,1627863,15.0,109.9,107.7,USA
Dario Saric,OKC,57,13.5,0.583,19.2,0.099,-1.4,0.1,2022-23,203967,14.1,112.8,111.2,Croatia
Dario Saric,GSW,64,15.3,0.6,19.5,0.123,1.0,0.9,2023-24,203967,17.2,113.7,115.3,Croatia
Darius Bazley,OKC,69,12.6,0.515,18.3,0.044,-1.8,0.1,2021-22,1629647,27.9,101.8,113.1,USA
Darius Bazley,PHX,43,13.1,0.524,16.4,0.078,-1.0,0.2,2022-23,1629647,14.3,105.5,109.2,USA
