player,team,games_played,per,ts,usg,ws_48,bpm,vorp,season
Jalen McDaniels,multiple,80.0,11.8,0.557,17.2,0.068,-2.1,-0.1,2022-23
Jakob Poeltl,multiple,72.0,21.0,0.635,18.2,0.15,1.9,1.9,2022-23
Jarred Vanderbilt,multiple,78.0,15.1,0.604,13.6,0.132,1.1,1.5,2022-23
Patrick Beverley,multiple,67.0,8.9,0.534,10.6,0.079,-1.2,0.3,2022-23
Kevin Durant,multiple,47.0,25.9,0.677,30.7,0.194,7.1,3.9,2022-23
Reggie Jackson,multiple,68.0,10.0,0.514,20.8,0.018,-3.9,-0.8,2022-23
Josh Richardson,multiple,65.0,12.3,0.555,18.4,0.055,-1.2,0.3,2022-23
Rui Hachimura,multiple,63.0,13.2,0.556,20.2,0.06,-2.2,-0.1,2022-23
Devonte Graham,multiple,73.0,12.5,0.552,17.1,0.091,-0.1,0.6,2022-23
Terrence Ross,multiple,63.0,10.2,0.544,16.8,0.059,-2.1,0.0,2022-23
Luke Kennard,multiple,59.0,13.0,0.684,14.5,0.124,0.5,0.8,2022-23
Kevin Love,multiple,62.0,13.1,0.548,19.2,0.099,0.6,0.8,2022-23
Matisse Thybulle,multiple,71.0,10.5,0.552,10.6,0.086,-0.5,0.4,2022-23
Cameron Johnson,multiple,42.0,17.1,0.617,20.6,0.142,2.6,1.4,2022-23
Jordan Nwora,multiple,62.0,12.2,0.561,19.4,0.06,-2.1,0.0,2022-23
Bones Hyland,multiple,56.0,14.9,0.535,28.0,0.062,-0.8,0.3,2022-23
Thomas Bryant,multiple,59.0,19.7,0.682,18.2,0.183,0.6,0.7,2022-23
Will Barton,multiple,56.0,10.0,0.493,18.9,0.021,-2.6,-0.2,2022-23
Cam Reddish,multiple,40.0,10.6,0.561,17.1,0.046,-3.4,-0.4,2022-23
Kendrick Nunn,multiple,70.0,11.1,0.53,23.7,0.008,-3.5,-0.4,2022-23
Kevin Knox,multiple,63.0,11.1,0.579,18.4,0.034,-3.5,-0.4,2022-23
Mike Muscala,multiple,63.0,13.0,0.608,15.1,0.128,-0.4,0.4,2022-23
Nickeil AlexanderWalker,multiple,59.0,11.6,0.565,17.9,0.062,-0.9,0.2,2022-23
Goran Dragic,multiple,58.0,10.3,0.514,21.1,0.025,-3.9,-0.4,2022-23
James Wiseman,multiple,45.0,15.6,0.589,21.2,0.077,-3.5,-0.3,2022-23
George Hill,multiple,46.0,10.6,0.61,11.3,0.107,-1.5,0.1,2022-23
Dario Saric,multiple,57.0,13.5,0.583,19.2,0.099,-1.4,0.1,2022-23
Mo Bamba,multiple,49.0,15.7,0.602,16.6,0.139,0.5,0.5,2022-23
RJ Hampton,multiple,47.0,10.8,0.558,17.8,0.042,-2.9,-0.2,2022-23
Justin Holiday,multiple,46.0,6.6,0.494,14.1,0.008,-3.9,-0.3,2022-23
Juan ToscanoAnderson,multiple,52.0,7.2,0.505,11.3,0.038,-3.8,-0.3,2022-23
TJ Warren,multiple,42.0,13.5,0.55,19.5,0.081,-2.0,0.0,2022-23
Garrison Mathews,multiple,54.0,9.7,0.573,14.7,0.067,-2.4,-0.1,2022-23
Sandro Mamukelashvili,multiple,43.0,13.4,0.516,18.2,0.063,-2.4,-0.1,2022-23
Eugene Omoruyi,multiple,40.0,10.9,0.533,19.3,0.042,-4.4,-0.4,2022-23
Darius Bazley,multiple,43.0,13.1,0.524,16.4,0.078,-1.0,0.2,2022-23
Damian Jones,multiple,41.0,12.9,0.719,10.7,0.119,-1.7,0.0,2022-23
Svi Mykhailiuk,multiple,32.0,14.0,0.584,19.3,0.081,-0.1,0.2,2022-23
Goga Bitadze,multiple,38.0,17.1,0.582,15.4,0.141,0.3,0.3,2022-23
Dewayne Dedmon,multiple,38.0,15.5,0.577,20.6,0.115,-1.6,0.0,2022-23
Bruno Fernando,multiple,39.0,16.6,0.571,16.3,0.109,-2.0,0.0,2022-23
Kessler Edwards,multiple,36.0,8.4,0.502,12.7,0.048,-3.9,-0.2,2022-23
Saben Lee,multiple,25.0,13.1,0.517,19.5,0.088,-1.8,0.0,2022-23
Gary Payton II,multiple,22.0,13.3,0.701,10.3,0.125,0.3,0.2,2022-23
Markieff Morris,multiple,35.0,10.4,0.553,17.2,0.059,-2.7,-0.1,2022-23
Davon Reed,multiple,43.0,6.2,0.471,14.5,0.008,-5.3,-0.3,2022-23
Julian Champagnie,multiple,17.0,13.4,0.6,19.2,0.061,-3.3,-0.1,2022-23
Matt Ryan,multiple,34.0,8.1,0.538,16.5,0.044,-3.4,-0.1,2022-23
Moses Brown,multiple,36.0,22.2,0.607,21.2,0.179,-0.6,0.1,2022-23
Terry Taylor,multiple,31.0,11.0,0.557,14.2,0.054,-4.1,-0.1,2022-23
Frank Kaminsky,multiple,36.0,15.3,0.635,14.1,0.141,2.8,0.3,2022-23
Nerlens Noel,multiple,17.0,7.9,0.424,12.0,0.007,-3.8,-0.1,2022-23
Ryan Arcidiacono,multiple,20.0,2.7,0.351,11.1,-0.043,-8.8,-0.3,2022-23
Dru Smith,multiple,15.0,11.4,0.475,13.8,0.099,-0.9,0.0,2022-23
Danny Green,multiple,11.0,10.8,0.617,18.9,0.059,-1.9,0.0,2022-23
AJ Lawson,multiple,15.0,13.9,0.589,21.1,0.063,-4.4,-0.1,2022-23
Jamaree Bouyea,multiple,5.0,6.5,0.504,11.8,0.013,-4.2,0.0,2022-23
Justin Champagnie,multiple,5.0,10.3,0.367,19.2,0.009,-7.9,-0.1,2022-23
Tyrese Haliburton,multiple,77.0,18.2,0.595,19.0,0.125,2.6,3.1,2021-22
Buddy Hield,multiple,81.0,12.9,0.548,22.4,0.036,-1.2,0.5,2021-22
James Harden,multiple,65.0,20.9,0.583,27.2,0.152,4.0,3.7,2021-22
Derrick White,multiple,75.0,14.8,0.549,19.9,0.111,0.9,1.6,2021-22
CJ McCollum,multiple,62.0,18.3,0.553,27.5,0.081,1.9,2.1,2021-22
Domantas Sabonis,multiple,62.0,21.9,0.637,22.3,0.159,4.1,3.2,2021-22
Seth Curry,multiple,64.0,13.7,0.615,18.5,0.095,-0.6,0.8,2021-22
Justin Holiday,multiple,74.0,9.5,0.543,15.8,0.033,-2.2,-0.1,2021-22
Spencer Dinwiddie,multiple,67.0,15.1,0.543,21.4,0.098,0.3,1.1,2021-22
Robert Covington,multiple,71.0,12.4,0.572,13.5,0.08,0.2,1.1,2021-22
Dennis Schroder,multiple,64.0,13.0,0.539,22.6,0.076,-1.9,0.0,2021-22
Josh Hart,multiple,54.0,16.1,0.61,18.6,0.117,0.9,1.3,2021-22
Caris LeVert,multiple,58.0,15.1,0.525,25.4,0.059,-1.2,0.4,2021-22
Montrezl Harrell,multiple,71.0,23.2,0.68,20.2,0.213,3.9,2.4,2021-22
Josh Richardson,multiple,65.0,12.8,0.573,17.6,0.106,0.1,0.9,2021-22
Torrey Craig,multiple,78.0,11.0,0.556,14.3,0.07,-1.8,0.1,2021-22
Trey Lyles,multiple,75.0,16.4,0.588,20.7,0.111,-0.3,0.7,2021-22
Kristaps Porzingis,multiple,51.0,23.7,0.577,29.5,0.18,3.9,2.2,2021-22
Nickeil AlexanderWalker,multiple,65.0,10.5,0.475,24.1,0.003,-2.9,-0.3,2021-22
Norman Powell,multiple,45.0,16.3,0.603,23.1,0.093,-0.3,0.6,2021-22
Andre Drummond,multiple,73.0,21.0,0.574,19.0,0.17,1.3,1.2,2021-22
Bryn Forbes,multiple,75.0,11.5,0.574,21.2,0.054,-2.9,-0.3,2021-22
Drew Eubanks,multiple,71.0,18.0,0.638,17.5,0.13,-1.4,0.2,2021-22
Marvin Bagley III,multiple,48.0,15.7,0.551,19.8,0.084,-2.3,-0.1,2021-22
Ish Smith,multiple,65.0,12.5,0.465,20.1,0.023,-2.9,-0.2,2021-22
Larry Nance Jr,multiple,46.0,14.4,0.59,12.8,0.104,-0.1,0.5,2021-22
DeAndre Bembry,multiple,56.0,11.9,0.601,11.2,0.104,-0.7,0.3,2021-22
Aaron Holiday,multiple,63.0,12.6,0.544,18.7,0.068,-1.7,0.1,2021-22
Cam Reddish,multiple,49.0,12.8,0.543,22.2,0.046,-1.3,0.2,2021-22
Donte DiVincenzo,multiple,42.0,11.3,0.51,18.9,0.035,-2.3,-0.1,2021-22
Daniel Theis,multiple,47.0,13.2,0.595,16.2,0.093,-2.1,0.0,2021-22
Jeremy Lamb,multiple,56.0,13.3,0.521,19.7,0.063,-0.8,0.3,2021-22
Jalen Smith,multiple,51.0,18.4,0.595,20.3,0.145,-0.5,0.3,2021-22
Tomas Satoransky,multiple,55.0,10.2,0.461,12.6,0.056,-3.7,-0.4,2021-22
Jevon Carter,multiple,66.0,9.6,0.531,14.0,0.062,-2.2,-0.1,2021-22
Tristan Thompson,multiple,57.0,14.9,0.541,17.5,0.087,-3.1,-0.3,2021-22
DJ Augustin,multiple,55.0,9.7,0.61,14.3,0.043,-3.6,-0.4,2021-22
Serge Ibaka,multiple,54.0,14.4,0.579,17.8,0.108,-1.5,0.1,2021-22
Thaddeus Young,multiple,52.0,17.0,0.548,17.4,0.126,2.2,0.9,2021-22
Armoni Brooks,multiple,54.0,8.4,0.483,16.4,0.014,-3.9,-0.4,2021-22
Josh Jackson,multiple,51.0,9.5,0.491,19.7,0.001,-4.5,-0.5,2021-22
Tony Snell,multiple,53.0,6.3,0.541,10.1,0.023,-4.2,-0.5,2021-22
Lance Stephenson,multiple,46.0,13.6,0.536,22.6,0.048,-3.2,-0.2,2021-22
Davis Bertans,multiple,56.0,9.4,0.531,17.3,0.053,-2.6,-0.1,2021-22
Justise Winslow,multiple,48.0,13.1,0.479,18.9,0.048,-1.7,0.1,2021-22
Romeo Langford,multiple,48.0,9.2,0.52,12.9,0.082,-1.4,0.1,2021-22
Danuel House Jr,multiple,42.0,10.6,0.555,15.2,0.068,-1.1,0.2,2021-22
DeMarcus Cousins,multiple,48.0,18.2,0.567,28.1,0.104,-1.6,0.1,2021-22
Rodney Hood,multiple,52.0,7.2,0.493,10.7,0.048,-3.3,-0.2,2021-22
Rajon Rondo,multiple,39.0,10.9,0.496,16.0,0.048,-1.7,0.1,2021-22
Keon Johnson,multiple,37.0,8.7,0.453,21.2,-0.031,-5.9,-0.7,2021-22
DeAndre Jordan,multiple,48.0,17.2,0.641,13.9,0.145,-1.4,0.1,2021-22
Goran Dragic,multiple,21.0,10.0,0.474,17.2,0.034,-3.3,-0.2,2021-22
Kelan Martin,multiple,30.0,9.4,0.484,18.1,0.005,-3.6,-0.2,2021-22
Juancho Hernangomez,multiple,40.0,11.5,0.542,13.4,0.095,-0.6,0.2,2021-22
Elijah Hughes,multiple,36.0,5.4,0.426,16.5,-0.043,-6.9,-0.5,2021-22
Semi Ojeleye,multiple,30.0,6.7,0.438,12.8,0.029,-5.7,-0.4,2021-22
Paul Millsap,multiple,33.0,10.8,0.458,16.7,0.061,-3.5,-0.1,2021-22
Wenyen Gabriel,multiple,26.0,12.5,0.549,17.4,0.09,-5.9,-0.4,2021-22
Moses Brown,multiple,40.0,18.5,0.612,20.7,0.16,-3.3,-0.1,2021-22
Isaiah Thomas,multiple,22.0,12.0,0.516,24.8,0.026,-4.5,-0.2,2021-22
Brad Wanamaker,multiple,23.0,7.5,0.472,14.9,0.004,-5.8,-0.3,2021-22
Justin Anderson,multiple,16.0,10.4,0.493,15.1,0.054,-3.2,-0.1,2021-22
Justin Robinson,multiple,25.0,3.6,0.404,16.0,-0.055,-7.6,-0.4,2021-22
Mychal Mulder,multiple,17.0,3.7,0.438,15.8,-0.05,-7.7,-0.3,2021-22
Denzel Valentine,multiple,24.0,8.1,0.523,15.5,0.039,-2.7,0.0,2021-22
Kevin Knox,multiple,30.0,10.9,0.491,20.0,0.047,-4.1,-0.1,2021-22
Georgios Kalaitzakis,multiple,13.0,8.6,0.536,20.2,-0.024,-7.0,-0.3,2021-22
Malcolm Hill,multiple,19.0,12.7,0.619,12.7,0.126,-1.6,0.0,2021-22
Tim Frazier,multiple,12.0,3.3,0.398,13.3,-0.046,-8.6,-0.3,2021-22
Javonte Smart,multiple,17.0,5.1,0.407,15.9,-0.038,-6.6,-0.2,2021-22
Braxton Key,multiple,11.0,13.7,0.508,19.4,0.052,-3.3,-0.1,2021-22
Greg Monroe,multiple,14.0,19.5,0.566,17.3,0.169,0.4,0.1,2021-22
Reggie Perry,multiple,10.0,15.6,0.537,22.4,0.058,-4.1,-0.1,2021-22
Willie CauleyStein,multiple,20.0,8.3,0.474,10.6,0.066,-3.0,0.0,2021-22
Charlie Brown Jr,multiple,22.0,6.5,0.346,12.3,0.012,-4.8,-0.1,2021-22
Alize Johnson,multiple,23.0,10.7,0.463,14.8,0.041,-5.5,-0.1,2021-22
Bruno Fernando,multiple,30.0,21.2,0.671,22.4,0.14,-0.1,0.1,2021-22
Didi Louzada,multiple,9.0,6.4,0.517,13.0,-0.005,-7.5,-0.2,2021-22
Jeff Dowtin,multiple,9.0,6.8,0.353,12.8,-0.01,-5.6,-0.1,2021-22
Langston Galloway,multiple,7.0,0.7,0.269,12.8,-0.1,-9.8,-0.2,2021-22
Chaundee Brown Jr,multiple,5.0,6.4,0.447,14.9,0.002,-6.6,-0.1,2021-22
Luke Kornet,multiple,15.0,16.6,0.506,12.7,0.194,-0.5,0.0,2021-22
Chris Silva,multiple,10.0,11.6,0.641,13.8,0.137,-4.9,-0.1,2021-22
Tyler Johnson,multiple,6.0,7.1,0.425,10.5,0.033,-3.0,0.0,2021-22
Rayjon Tucker,multiple,5.0,17.7,0.869,7.9,0.243,3.5,0.1,2021-22
Malik Fitts,multiple,15.0,10.7,0.553,14.6,0.097,-1.1,0.0,2021-22
James Ennis III,multiple,7.0,17.7,0.553,22.0,0.114,-1.1,0.0,2021-22
Tremont Waters,multiple,3.0,5.4,0.357,15.5,-0.042,-7.7,-0.1,2021-22
Vernon Carey Jr,multiple,7.0,15.8,0.534,21.6,0.068,-7.5,-0.1,2021-22
Nik Stauskas,multiple,8.0,10.5,0.541,20.0,0.078,-3.6,0.0,2021-22
Xavier Sneed,multiple,9.0,0.4,0.25,11.0,-0.056,-10.6,-0.1,2021-22
Justin Jackson,multiple,7.0,7.7,0.472,19.7,0.032,-3.3,0.0,2021-22
Juwan Morgan,multiple,2.0,8.3,0.833,4.1,0.124,-7.1,0.0,2021-22
Mac McClung,multiple,2.0,5.2,0.621,16.3,-0.043,-9.6,0.0,2021-22
Carlik Jones,multiple,5.0,-1.8,0.202,25.1,-0.285,-15.5,-0.1,2021-22
Moses Wright,multiple,4.0,18.3,0.47,17.1,0.18,1.4,0.0,2021-22
