player_id,player,team,games_played,min,off_rating,def_rating,season
1629726,Garrison Mathews,ATL,66,15.0,111.8,115.8,2023-24
203914,Gary Harris,ORL,54,24.0,113.6,110.3,2023-24
1627780,Gary Payton II,GSW,44,15.5,114.7,108.9,2023-24
1629018,Gary Trent Jr.,TOR,71,28.1,113.7,118.2,2023-24
1627777,Georges Niang,CLE,82,22.3,114.4,113.9,2023-24
203507,Giannis Antetokounmpo,MIL,73,35.2,119.8,113.2,2023-24
1629048,Goga Bitadze,ORL,62,15.4,112.1,110.3,2023-24
202330,Gordon Hayward,OKC,51,24.4,112.0,118.0,2023-24
1641711,Gradey Dick,TOR,60,21.1,105.1,119.1,2023-24
1629684,Grant Williams,CHA,76,28.0,110.8,116.6,2023-24
1628960,Grayson Allen,PHX,75,33.5,119.0,113.9,2023-24
1630535,Greg Brown III,DAL,6,6.6,101.1,110.6,2023-24
1630611,Gui Santos,GSW,23,8.4,113.4,110.1,2023-24
1628977,Hamidou Diallo,WAS,2,2.4,81.8,50.0,2023-24
203084,Harrison Barnes,SAC,82,29.0,114.1,115.7,2023-24
1628385,Harry Giles III,LAL,23,4.3,107.5,123.3,2023-24
1629312,Haywood Highsmith,MIA,66,20.7,110.1,109.0,2023-24
1630929,Henri Drell,CHI,4,7.5,120.6,113.4,2023-24
1630529,Herbert Jones,NOP,76,30.5,116.4,111.0,2023-24
1641816,Hunter Tyson,DEN,18,2.7,100.9,98.1,2023-24
1630641,Ibou Badji,POR,22,10.3,95.5,112.3,2023-24
1630193,Immanuel Quickley,TOR,68,29.2,113.2,114.2,2023-24
1630171,Isaac Okoro,CLE,69,27.3,113.1,110.7,2023-24
1628392,Isaiah Hartenstein,NYK,75,25.3,120.3,110.3,2023-24
1630543,Isaiah Jackson,IND,60,12.8,114.5,111.7,2023-24
1630198,Isaiah Joe,OKC,78,18.5,116.6,107.5,2023-24
1630587,Isaiah Livers,DET,23,20.4,106.1,125.4,2023-24
1630600,Isaiah Mobley,CLE,10,7.2,93.8,113.8,2023-24
1630191,Isaiah Stewart,DET,46,30.9,110.3,114.5,2023-24
202738,Isaiah Thomas,PHX,6,3.2,90.5,133.3,2023-24
1631209,Isaiah Wong,IND,1,4.3,75.0,122.2,2023-24
202397,Ish Smith,CHA,43,17.2,101.7,119.2,2023-24
1630688,Ish Wainright,PHX,11,5.7,78.5,84.8,2023-24
1627826,Ivica Zubac,LAC,68,26.4,117.1,112.4,2023-24
1631167,Izaiah Brockington,NOP,1,3.4,150.0,100.0,2023-24
1631120,JD Davison,BOS,8,4.9,112.8,83.1,2023-24
1630550,JT Thor,CHA,63,12.4,107.5,110.7,2023-24
1629630,Ja Morant,MEM,9,35.3,111.0,111.1,2023-24
201580,JaVale McGee,SAC,46,7.4,108.5,110.4,2023-24
1631095,Jabari Smith Jr.,HOU,76,31.9,111.9,113.8,2023-24
1631133,Jabari Walker,POR,72,23.6,107.1,116.5,2023-24
1631298,Jack White,MEM,4,15.9,89.1,111.1,2023-24
1631367,Jacob Gilyard,BKN,41,17.0,105.8,117.7,2023-24
1631210,Jacob Toppin,NYK,9,4.2,98.7,118.4,2023-24
1630702,Jaden Hardy,DAL,73,13.6,108.1,114.5,2023-24
1631093,Jaden Ivey,DET,77,28.8,109.9,117.7,2023-24
1630183,Jaden McDaniels,MIN,72,29.2,114.2,110.4,2023-24
1630531,Jaden Springer,BOS,49,10.3,112.4,112.9,2023-24
203109,Jae Crowder,MIL,50,23.1,112.3,114.9,2023-24
1630256,Jae'Sean Tate,HOU,65,15.9,110.1,105.0,2023-24
1630186,Jahmi'us Ramsey,TOR,7,17.3,100.4,110.8,2023-24
1631170,Jaime Jaquez Jr.,MIA,75,28.2,113.1,110.4,2023-24
1631222,Jake LaRavia,MEM,35,23.0,105.2,111.9,2023-24
1627751,Jakob Poeltl,TOR,50,26.4,113.6,114.2,2023-24
1628973,Jalen Brunson,NYK,77,35.4,121.2,112.6,2023-24
1630622,Jalen Crutcher,NOP,1,2.7,120.0,100.0,2023-24
1631105,Jalen Duren,DET,61,29.1,109.3,117.0,2023-24
1630224,Jalen Green,HOU,82,31.7,113.8,113.8,2023-24
1641720,Jalen Hood-Schifino,LAL,21,5.2,88.9,111.9,2023-24
1630552,Jalen Johnson,ATL,56,33.7,113.3,115.2,2023-24
1629667,Jalen McDaniels,TOR,50,10.8,100.9,115.0,2023-24
1629618,Jalen Pickett,DEN,27,4.5,102.3,104.8,2023-24
1641771,Jalen Slawson,SAC,12,3.1,105.3,114.9,2023-24
1630188,Jalen Smith,IND,61,17.2,119.5,118.6,2023-24
1630591,Jalen Suggs,ORL,75,27.0,111.8,110.8,2023-24
1631114,Jalen Williams,OKC,71,31.3,117.7,108.9,2023-24
1630592,Jalen Wilson,BKN,43,15.5,111.4,113.0,2023-24
1631288,Jamal Cain,MIA,26,10.0,105.4,108.8,2023-24
1627750,Jamal Murray,DEN,59,31.5,120.7,112.4,2023-24
1631123,Jamaree Bouyea,SAS,9,10.5,94.0,101.5,2023-24
1630547,James Bouknight,CHA,14,5.8,107.8,115.2,2023-24
201935,James Harden,LAC,72,34.3,120.9,115.2,2023-24
201949,James Johnson,IND,9,5.2,112.6,108.8,2023-24
1630164,James Wiseman,DET,63,17.3,104.8,118.2,2023-24
1641716,Jarace Walker,IND,33,10.3,117.3,114.6,2023-24
1630215,Jared Butler,WAS,40,14.1,107.6,111.4,2023-24
1631197,Jared Rhoden,DET,17,14.4,105.7,115.0,2023-24
1628991,Jaren Jackson Jr.,MEM,66,32.2,106.6,113.9,2023-24
1629020,Jarred Vanderbilt,LAL,29,20.0,113.6,109.4,2023-24
1628386,Jarrett Allen,CLE,77,31.7,115.5,110.7,2023-24
1630554,Jason Preston,UTA,7,10.2,120.4,105.3,2023-24
1631241,Javon Freeman-Liberty,TOR,22,18.3,102.6,120.7,2023-24
1629750,Javonte Green,CHI,9,25.6,117.8,112.8,2023-24
1630606,Javonte Smart,PHI,1,0.7,0.0,150.0,2023-24
1629637,Jaxson Hayes,LAL,70,12.5,109.6,114.4,2023-24
1630643,Jay Huff,DEN,20,2.5,90.4,98.2,2023-24
1627759,Jaylen Brown,BOS,70,33.5,120.2,111.6,2023-24
1629669,Jaylen Nowell,DET,13,16.4,103.6,111.0,2023-24
1631119,Jaylin Williams,OKC,69,13.0,114.7,107.9,2023-24
1628369,Jayson Tatum,BOS,74,35.7,121.7,110.5,2023-24
1630288,Jeff Dowtin Jr.,PHI,12,11.8,111.0,104.1,2023-24
201145,Jeff Green,HOU,78,16.8,109.7,112.7,2023-24
203924,Jerami Grant,POR,54,33.9,107.8,117.5,2023-24
1630526,Jeremiah Robinson-Earl,NOP,39,8.6,106.2,108.1,2023-24
1631110,Jeremy Sochan,SAS,74,29.6,108.1,115.0,2023-24
